PassengerId,Survived,Pclass,Sex,Age,Cabin,Embarked,title,Family
1,0.0,3,male,22.0,0,S,Mr,1
2,1.0,1,female,38.0,1,C,Mrs,1
3,1.0,3,female,26.0,0,S,Miss,0
4,1.0,1,female,35.0,1,S,Mrs,1
5,0.0,3,male,35.0,0,S,Mr,0
6,0.0,3,male,24.0,0,Q,Mr,0
7,0.0,1,male,54.0,1,S,Mr,1
8,0.0,3,male,2.0,0,S,Master,1
9,1.0,3,female,27.0,0,S,Mrs,0
10,1.0,2,female,14.0,0,C,Mrs,1
11,1.0,3,female,4.0,1,S,Miss,1
12,1.0,1,female,58.0,1,S,Miss,0
13,0.0,3,male,20.0,0,S,Mr,1
14,0.0,3,male,39.0,0,S,Mr,1
15,0.0,3,female,14.0,0,S,Miss,0
16,1.0,2,female,55.0,0,S,Mrs,1
17,0.0,3,male,2.0,0,Q,Master,1
18,1.0,2,male,29.0,0,S,Mr,0
19,0.0,3,female,31.0,0,S,Mrs,1
20,1.0,3,female,24.0,0,C,Mrs,0
21,0.0,2,male,35.0,0,S,Mr,0
22,1.0,2,male,34.0,1,S,Mr,0
23,1.0,3,female,15.0,0,Q,Miss,0
24,1.0,1,male,28.0,1,S,Mr,1
25,0.0,3,female,8.0,0,S,Miss,1
26,1.0,3,female,38.0,0,S,Mrs,1
27,0.0,3,male,24.0,0,C,Mr,1
28,0.0,1,male,19.0,1,S,Mr,1
29,1.0,3,female,24.0,0,Q,Miss,0
30,0.0,3,male,24.0,0,S,Mr,0
31,0.0,1,male,40.0,0,C,Mr,0
32,1.0,1,female,39.0,1,C,Mrs,1
33,1.0,3,female,24.0,0,Q,Miss,0
34,0.0,2,male,66.0,0,S,Mr,0
35,0.0,1,male,28.0,0,C,Mr,1
36,0.0,1,male,42.0,0,S,Mr,1
37,1.0,3,male,24.0,0,C,Mr,0
38,0.0,3,male,21.0,0,S,Mr,0
39,0.0,3,female,18.0,0,S,Miss,1
40,1.0,3,female,14.0,0,C,Miss,1
41,0.0,3,female,40.0,0,S,Mrs,1
42,0.0,2,female,27.0,0,S,Mrs,1
43,0.0,3,male,24.0,0,C,Mr,1
44,1.0,2,female,3.0,0,C,Miss,1
45,1.0,3,female,19.0,0,Q,Miss,0
46,0.0,3,male,24.0,0,S,Mr,0
47,0.0,3,male,24.0,0,Q,Mr,1
48,1.0,3,female,24.0,0,Q,Miss,0
49,0.0,3,male,24.0,0,C,Mr,1
50,0.0,3,female,18.0,0,S,Mrs,1
51,0.0,3,male,7.0,0,S,Master,1
52,0.0,3,male,21.0,0,S,Mr,0
53,1.0,1,female,49.0,1,C,Mrs,1
54,1.0,2,female,29.0,0,S,Mrs,1
55,0.0,1,male,65.0,1,C,Mr,0
56,1.0,1,male,39.0,1,S,Mr,0
57,1.0,2,female,21.0,0,S,Miss,0
58,0.0,3,male,28.5,0,C,Mr,1
59,1.0,2,female,5.0,0,S,Miss,1
60,0.0,3,male,11.0,0,S,Master,1
61,0.0,3,male,22.0,0,C,Mr,0
62,1.0,1,female,38.0,1,C,Miss,0
63,0.0,1,male,45.0,1,S,Mr,1
64,0.0,3,male,4.0,0,S,Master,1
65,0.0,1,male,39.0,0,C,Mr,1
66,1.0,3,male,24.0,0,C,Master,1
67,1.0,2,female,29.0,1,S,Mrs,0
68,0.0,3,male,19.0,0,S,Mr,1
69,1.0,3,female,17.0,0,S,Miss,1
70,0.0,3,male,26.0,0,S,Mr,1
71,0.0,2,male,32.0,0,S,Mr,1
72,0.0,3,female,16.0,0,S,Miss,1
